name,item_code,description,retail_unite_of_meassure,regular_price,sale_price,tax_class,dimensions,color,age,brand,stock_status,vendor,product_manufacturer_code,product_cat,properties,properties_en,composition,composition_en,components,components_en,collectionn,ordering,origine,images,tag,tae
T bluzë me logo Regular fit,50467556-002,T Shirt,COP,45,,18,,1a171a,Burrë,HUGO,,413,50467556,Veshje-T Bluzë,"Një bluzë e domosdoshme nga HUGO Menswear. Ofron një dizajn straight fit, kjo bluzë është punuar prej pambuku të pastër dhe e printuar me një logo në pjesën e përparme të gjoksit. Ne përdorim gjithmonë të paktën 60% më shumë lëndë të para të qëndrueshme. Me blerjen e këtij produkti, ju kontribuoni në mbrojtjen e mjedisit dhe kultivimin e qëndrueshëm të pambukut.","A must-have T-shirt by HUGO Menswear. Offered in a straight fit, this T-shirt is crafted in pure-cotton jersey and printed with a contrasting HUGO logo across the chest.For our RESPONSIBLE products, we always use at least 60% more sustainable raw materials. By purchasing this product, you are contributing to protecting the environment and sustainable cotton farming in Africa. Cotton made in Africa is an initiative of the Aid by Trade Foundation. The cotton produced is 100% rain fed, so no extra water is needed. Smallholder farmers are supported by this initiative that is working to promote gender equality, dignified labour conditions, and respect for the rights of children. There is no use of genetically modified organisms, and participants are trained in climate-friendly agricultural methods and organic farming.",100% Pambuk,100% Cotton,,,1,1,BD,http://46.99.130.129:60000/_uploads/photos/50467556-002_1.jpg,,
Çorape me dizajn të printuar,50473191-100,Regular Socks,COP,20,,18,,dde1e6,Burrë,HUGO,,413,50473191,Aksesorë-Çorape dhe gete,,,86% Pambuk 12% Poliamid 2% Elastan,86% Cotton 12% Polyamide 2% Elastane,,,1,1,PT,http://46.99.130.129:60000/_uploads/photos/50473191-100_1.jpg,,
Atlete me lidhëse,A1XF2W,GRAYDON F/L LOW NAVY,COP,99,69.3,18,,072f53,Burrë,TIMBERLAND,,17,A1XF2W,Këpucë-Këpucë,Atlete me lidhëse dhe materiale të kombinuara.,Sneakers with laces and combined materials.,"Pjesa e sipërme me lëkurë kualitative dhe material ReBOTL, pjesa e poshtme me shtresë Memory Foam dhe me sistem Ground Contact.",Upper made with Better Leather from an LWG Silver-rated tannery and ReBOTL fabric  ReBOTL fabric lining  Memory foam footbed  Ground-contact EVA midsole  HoverLite comfort outsole,,,1,1,KH,http://46.99.130.129:60000/_uploads/photos/A1XF2W_1.jpg,,
Xhinse Slim Denim,A2C9D32-001,Sargent Lake Stretch Stay Black Denim Pant Slim,COP,89,71.2,18,,1C1B21,Burrë,TIMBERLAND,,17,A2C9D32,Veshje-Xhinse,Këto xhinse Denim janë bërë me 98% pambuk organik i cili prodhohet pa përdorur kimikate të dëmshme ose pesticide. Kanë dizajn të gjatë dhe ngjyrë të qëndrueshme e cila nuk zbehet me kalimin e kohës. Strukturë klasike me pesë xhepa. Mbërthehen me zingjir d,"These men's jeans are made with 98% organic cotton, which is produced in a way that doesn't use harmful chemicals or pesticides. The jeans feature stay-black stretch denim that won't fade over time, a classic five-pocket construction and a zip fly.","98% Pambuk, 2% Elastan","98% Cotton, 2% Elastane",,,1,3,AO,http://46.99.130.129:60000/_uploads/photos/A2C9D32-001_1.jpg,,
Atlete Timberland Delphiville,A219NW,DelphivilleTextileSneaker,COP,99,49.5,18,,0,Grua,TIMBERLAND,,17,A219NW,Këpucë-Atlete,Atlete me lëkurë sintetike dhe material të qëndrueshëm ReBOTL që përmban së paku 50% plastikë të recikluar. Ka shtresë me densitet të dyfishtë dhe teknologji OrthoLite,Upper made with synthetic leather and durable ReBOTL fabric containing at least 50% recycled plastic  Durable ReBOTL fabric lining made with at least 50% recycled plastic  Dual-density lightweight EVA midsole cushioning  Lightweight and breathable OrthoLi,"Lëkurë sintetike, materiale ReBOTL, shtresë EVA, shtresë OrthoLite, gomë",Upper made with ReBOTL fabric and synthetic leather  100% PET laces  ReBOTL fabric lining  Dual density lightweight EVA midsole  Rubber outsole  OrthoLite footbed,,,4,10,PH,http://46.99.130.129:60000/_uploads/photos/A219NW_1.jpg,,
Pollo me logo Timberland,A2BP5-801,SS MR Pique tipped P CAYENNE,COP,64,44.8,18,,FF8066,Burrë,TIMBERLAND,,17,A2BP5,Veshje-T Bluzë,Pollo me përbërje prej 100% pambuku organik e cila ofron rehati të madhe dhe e ka të dizajnuar në pjesën e gjoksit logon e brendit Timberland,100% organic cotton . Slim fit . Tipped collar . Embroidered Timberland tree logo on the chest . Contrasting back-neck tape . Centre-back length: 27.75 inches (70.5 cm),100% pambuk,100% Cotton,,,4,10,TR,http://46.99.130.129:60000/_uploads/photos/A2BP5-801_1.jpg,,
Xhinse Straight leg Fit,A2C9B32-H87,Sq-L core indigo denim,COP,89,71.2,18,,2B2C41,Burrë,TIMBERLAND,,17,A2C9B32,Veshje-Xhinse,"Xhinse klasike për meshkuj, kanë pesë xhepa. Janë të përbëra me material 100% pambuk organik i rritur pa kimikate të dëmshme ose pesticide.","These classic, five-pocket men's denim jeans have just enough stretch for the perfect fit. Plus, they're made with 100% organic cotton that's grown without harmful chemicals or pesticides.",Me material 98% pambuk organik dhe 2% elastan. Me pesë xhepa. Straight leg Fit. Mbërthehen me zingjir.,Made with 98% organic cotton and 2% elastane for stretch  Five-pocket construction  Straight-leg fit  Zip fly,,,1,3,IN,http://46.99.130.129:60000/_uploads/photos/A2C9B32-H87_1.jpg,,
Atlete Timberland Bradstreet,A2QAYM,BRADSTRTULTRA SPORTOX NVY,COP,119,83.3,18,,090A25,Burrë,TIMBERLAND,,17,A2QAYM,Këpucë-Atlete,"Këto atlete Timberland  janë të krijuara duke i marrë parasysh të gjitha kriteret për menaxhimin e ujit, energjisë dhe mbetjeve. Përbëhen nga materiale të recikluara dhe ofrojnë fleksibiltiet të lartë. Shtresa e këmbës është e përbërë po ashtu me material","Upper and lining in ReBOTL fabric lining containing at least 50% recycled plastic . Upper details in premium full-grain Better Leather from a sustainable tannery rated silver for its water, energy, and waste management practices . GreenStride sole made of","Të paktën 50% plastikë e recikluar, lëkurë, dhe materiale me bazë bio","At least 50% recycled plastic, leather and bio-based material",,,4,10,BD,http://46.99.130.129:60000/_uploads/photos/A2QAYM_1.jpg,,
T Bluzë me logo,A2BNY-959,Timberland Tree-Logo Sweatshirt for Men in Black,COP,64,44.8,18,,FFFFFF-000000-5B5B5B,Burrë,TIMBERLAND,,17,A2BNY,Veshje-T bluzë,"T Bluzë e rehatshme, me material 80% pambuk, qafë të rrumbullakët dhe logo me ngjyrë kontrasti në pjesën e gjoksit.","Go bold with this comfy, 80% cotton men's crewneck sweatshirt with contrasting Timberland tree logo on the chest. Finished with ribbed cuffs and hem for long-lasting wear.",100% pambuk organik.,100% Organic cotton,,,1,4,BD,http://46.99.130.129:60000/_uploads/photos/A2BNY-959_1.jpg,,
Këmishë me logo Timberland,A2BQE-100,LS E-R Pop solid shirt WHITE,COP,79,39.5,18,,FFFFFF,Burrë,TIMBERLAND,,17,A2BQE,Veshje-Këmishë,Këmishë me logo Timberland në pjesën e gjoksit dhe me mëngë të gjata,100% cotton . Fitted style with natural stretch in the fabric . Solid colour with piping details . Short button-down collar . Embroidered Timberland logo on the chest . Rounded hem . Centre-back length: 29.5 inches (74.9 cm),100% pambuk,100% Cotton,,,4,10,BD,http://46.99.130.129:60000/_uploads/photos/A2BQE-100_1.jpg,,
Sandale me lëkurë sintetike,A426YM,CASTLE ISLAND 2STRAP NVY,COP,59,41.3,18,,93054,Fëmijë (Djalë),TIMBERLAND,,17,A426YM,Këpucë-Sandale,Sandale me peshë të lehtë dhe lëkurë sintetike. Lidhen në pjesën e përparme dhe në pjesën e përparme në dy pozicione,Lightweight synthetic leather upper that's safe to get wet . Backstrap and two front straps with adjustable buckle closures . Midsole of compression-molded EVA-blend foam for cushioning . Rubber outsole for grip,"Lëkurë sintetike, gomë","Synthetic leather, rubber",,,4,10,KH,http://46.99.130.129:60000/_uploads/photos/A426YM_1.jpg,,
Këpucë me lidhëse,A414SM,BRADSTREET PT OX MD GRY,COP,129,90.3,18,,6B6262,Burrë,TIMBERLAND,,17,A414SM,Këpucë-Këpucë,"Këpucëme lidhëse dhe përmbajtje të lëkurës së krijuar nga praktikat moderne ekologjike. Përbëhet prej materialit ReBOTL me shishe të recikluara të plastikës. Ka teknologjinë dinamike SensorFlex për mbështetje e fleksibilitet, si dhe teknologjinë OrthoLite","Made with nubuck Better Leather from a sustainable tannery rated Silver for its water, energy, and waste management practices  Durable lining made with ReBOTL material from recycled plastic bottles  Dynamic SensorFlex technology is a three-layer system fo","Lëkurë, teknologji SensorFlex, materiale ReBOTL dhe shtresë OrthoLite të këmbës",Upper made with Better Leather from an LWG Silver-rated tannery  ReBOTL fabric lining  EVA midsole  SensorFlex technology  OrthoLite footbed,,,4,10,PH,http://46.99.130.129:60000/_uploads/photos/A414SM_1.jpg,,
Sandale me logo Timberland,A2HNNM,PLAYA SANDS BLK/BLU,COP,34,23.8,18,,000000-FFFFFF-84C0C5,Burrë,TIMBERLAND,,17,A2HNNM,Këpucë-Sandale,Sandale me lëkurë të lehtë sintetike e cila është e sigurt për t'u lagur. Ka material të qëndrueshëm ReBOTL me së paku 40% plastikë të recikluar,Made with lightweight synthetic leather that's safe to get wet  Durable ReBOTL fabric lining made with at least 40% recycled plastic  Ground-contact EVA outsole offers lightweight support,"Lëkurë sintetike, material ReBOTL, shtresë EVA",Lightweight and water-friendly synthetic leather upper  ReBOTL fabric lining  Ground-contact EVA outsole  Convenient slip-on style,,,4,10,VN,http://46.99.130.129:60000/_uploads/photos/A2HNNM_1.jpg,,
Atlete Timberland me materiale ekologjike,A2QANM,BRADSTRTULTRASPRTOX DKGRN,COP,119,83.3,18,,536F5A,Burrë,TIMBERLAND,,17,A2QANM,Këpucë-Atlete,Atlete Timberland me material ReBOTL që përmban të paktën 50% plastikë të recikluar dhe ka detaje të lëkurës Better Leather që njihet për praktikat moderne ekologjike. Ofron shtresë GreenStride që përbëhet nga sheqeri i rinovushëm dhe shtresë të këmbës me,"Upper and lining in ReBOTL fabric lining containing at least 50% recycled plastic  Upper details in premium full-grain Better Leather from a sustainable tannery rated silver for its water, energy, and waste management practices  GreenStride sole made of 7","Lëkurë Better Leather, material ReBOTL, shtresë GreenStride, gomë, materiale bio",Upper made with Better Leather from an LWG Silver-rated tannery and ReBOTL fabric  ReBOTL fabric lining  GreenStride sole  Rubber outsole  Footbed made from 70% bio-based materia,,,4,10,BD,http://46.99.130.129:60000/_uploads/photos/A2QANM_1.jpg,,
Atlete Timberland Truecloud EK+,A25ZAM,TrueCloud EK+ KnitChkka,COP,129,64.5,18,,5F7A6D,Burrë,TIMBERLAND,,17,A25ZAM,Këpucë-Atlete,Atlete me shtresë Tencel dhe fibra me teknologji Refibra,Upper material made with Tencel Lyocell fibers with Refibra technology  Ground-contact EVA midsole  Rubber outsole  Foam comfort footbed,"Fibra tençeli, shtresë EVA, gomë",Upper material made with Tencel Lyocell fibers with Refibra technology  Ground-contact EVA midsole  Rubber outsole  Foam comfort footbed,,,4,10,PH,http://46.99.130.129:60000/_uploads/photos/A25ZAM_1.jpg,,
Pantallona të shkurtë me pambuk organik,A2DFM-A58,Straight Chino Short GRAPE LEAF,COP,69,55.2,18,,808D89,Burrë,TIMBERLAND,,17,A2DFM,Veshje-Pantallona të shkurtë,Pantallona të shkurtë që përbëhen nga 97% pambuku organik dhe kanë stilin prej 4 xhepave,"97% organic cotton, 3% elastane  Straight leg style  Comfort stretch  Classic chino waistband  Four pockets  Zip fly  Length: 10 inches (25.4 cm)","97% pambuk, 3% elastan","97% Cotton, 3% Elastane",,,4,10,IN,http://46.99.130.129:60000/_uploads/photos/A2DFM-A58_1.jpg,,
Atlete sportive Timberland,A2AG8M,GARRISON TRAIL Low,COP,119,83.3,18,,0,Burrë,TIMBERLAND,,17,A2AG8M,Këpucë-Atlete,Atlete me material ReBOTL që përmban të paktën 50% plastikë të recikluar. Ka lëkurë sintetike dhe teknologji fërkimi TimberGrip. Po ashtu pjesa e përparme është rezistente ndaj ujit,Upper and lining: Durable ReBOTL fabric containing at least 50% recycled plastic  Upper detailing: synthetic leather  TimberGrip traction technology and rubber lug outsole  Waterproof forefoot  Protective toe bumper and heel piece made from climbing rubber  Midsole of compression-molded EVA-blend foam for cushioning,"Material ReBOTL, lëkurë sintetike","Waterproof forefoot Upper made with ReBOTLfabric and synthetic leather, ReBOTLfabric lining",,,4,10,VN,http://46.99.130.129:60000/_uploads/photos/A2AG8M_1.jpg,,
T bluzë me logo,A26NF-G99,Millers River Print-Collar Polo Shirt for Men in Black,COP,64,32,18,,42A3A2,Burrë,TIMBERLAND,,17,A26NF,Veshje-T bluzë,"T bluzë polo, ideale për t?u dukur bukur gjatë ditëve të ngrohta. Me material pambuku organik.","Our Millers River pique polo shirts are casual but polished ? the perfect shirt for looking good in warmer weather. And because we're committed to responsible sourcing, they're made with organically grown cotton.",Me material 100% pambuk organik. Logo të shtypur në pjesën e pasme të jakës dhe në pjesën e gjoksit. Slim fit.,"""Made with 100% organic cotton Logo print at the reverse back collar Embroidered Timberland tree logo on the chest Contrasting back-neck piping Centre back length: 68.6 cm / 27"""" Slim fit""",,,1,4,TR,http://46.99.130.129:60000/_uploads/photos/A26NF-G99_1.jpg,,
Xhinse Denim,A2C9B32-BQ8,Sq-L core indigo denim LIGHT SHADE,COP,89,71.2,18,,779EC2,Burrë,TIMBERLAND,,17,A2C9B32,Veshje-Xhinse,"Xhinse denim, me 5 xhepa. Mbërthehen me buton dhe zinxhir. Kanë logo të vendosur në pjesën e pasme të belit.","Denim jeans, with 5 pockets. Fastened with button and chain. They have a logo placed on the back of the waist.","98% pambuk organik, 2% elastan","98% Organic cotton, 2% elastane",,,1,2,IN,http://46.99.130.129:60000/_uploads/photos/A2C9B32-BQ8_1.jpg,,
Këpucë lëkure,A2AGZM,Newmarket II Boat Shoe for Men in Navy,COP,119,83.3,18,,1.80E+308,Burrë,TIMBERLAND,,17,A2AGZM,Këpucë-Këpucë,Kjo këpucë ëshët krijuar duke përdorur lëkurën premium e cila vie nga një fabrikë lëkure e cilësuar për proceset e tyre mjedisore. Ky stil detar është i dizajnuar për ta veshur gjatë të gjithë muajve të verës dhe ka një pjesë të poshtme gome për të ju rua,"This men's boat shoe is crafted using premium Better Leather, which is sourced from sustainable tanneries rated silver for their environmental processes. This nautical-style classic is designed for wearing throughout the summer months, and features a rubb","Pjesa e sipërme me lëkurë premium, që vie nga një fabrikë lëkure që është e cilësuar nga Leather Workinh Group, për ujin, energjinë dhe praktikën menagjeriale. Material me rrjetë për ventilim, lidhëse gome 100%","Upper in premium nubuck Better Leather sourced from a sustainable tannery rated silver by the Leather Working Group for its water, energy, and waste management practices Mesh lining for ventilation 100% recycled PET laces Rubber outsole for grip",,,1,1,PT,http://46.99.130.129:60000/_uploads/photos/A2AGZM_1.jpg,,
Atlete Killington,A2FVRW,KLLNGTONULTLOWFLSNK MDGRY,COP,119,83.3,18,,BFB4B4,Burrë,TIMBERLAND,,17,A2FVRW,Këpucë-Atlete,Këto atlete janë të bëra me lëkurë premium nga një fabrikë lëkure e cilësuar për proceset mjedisore. Materiali ReBOTL përmban të paktën 50% plastikëtë ricikluar.,"This Killington Ultra men's chukka is features our GreenStride comfort sole made using renewable sugar cane and sustainably source rubber from trees. Delivering performance and comfort, the chukka is made using premium Better Leather sourced from a sustai","Pjesa e poshtme GreenStride të bërë me material 75% të rinovueshëm, pjesa e sipërme me lëkurë premium nga një fabrikë lëkure e vlerësuar nga Leather Working Group për proceset menaxhuese të shpenzimit të energjisë dhe ujit. Material ReBOTL që përmban të p","GreenStride comfort sole made of 75% renewable materials, including sugar cane and responsible natural rubber Upper in premium coated Better Leather sourced from a sustainable tannery rated silver by the Leather Working Group for its water, energy, and wa",,,1,1,BD,http://46.99.130.129:60000/_uploads/photos/A2FVRW_1.jpg,,
Atlete Solar Wave,A2ECEM,GreenStride Solar Wave LT Trainer for Women in Green,COP,119,83.3,18,,978ABF-236BAC,Grua,TIMBERLAND,,17,A2ECEM,Këpucë-Atlete,Këto atlete kanë pjesë të poshtme të rehatshme. Të bërë nga 75% të materialeve të rinovueshme. Me dizajn që peshon lehtë këto atlete janë ti dizajnuara për t?i veshur për ditë dhe për ecje të gjata. Stili i këtyre atleteve është i bërë me sistem rezistent,"This women's light trail trainer features our eco-conscious GreenStride comfort sole, which is made from 75% renewable materials. With a lightweight design and a lug outsole for traction, the trainer is designed for day-to-day wearing and light trail walk","Pjesa e poshtme e bërë me 75% të materialeve të rinovueshme, pjesë të sipërme me material reBOTL që përmban të paktën 50% plastikë të ricikluar. Me sistem rezistent për t?i mbrojtur nga uji, shenjave të vajit, stil me lidhëse, pjesë të poshtme 70% me mate","GreenStride comfort sole made of 75% renewable materials, including sugar cane and responsible natural rubber Upper and lining in ReBOTL fabric containing at least 50% recycled plastic Defender Repellent Systems treatment to protect against water and oil-",,,1,1,PH,http://46.99.130.129:60000/_uploads/photos/A2ECEM_1.jpg,,
Atlete Boulder Trail,A2F9ZM,Boulder Trail Trainer for Men,COP,119,83.3,18,,D9B794,Burrë,TIMBERLAND,,17,A2F9ZM,Këpucë-Atlete,Rehati që mund të shihet. Atlete që peshojnë lehtë dhe kanë shtresë OrthoLite që rehaton këmbën tuaj. Pjesa e sipërme e gomës ofron tërheqje ndërsa pjesa e sipërme e atleteve është e bërë me materiale eko dhe ofron pamje të lëmuar.,"Comfort you can practically see. Our Boulder Trail men's trainers feature a cushioned EVA-blend foam midsole and lightweight OrthoLite? footbed that cradle your feet. The rubber lug outsole provides great traction, while the mixed-media upper crafted",E punuar me lëkurë Premium Better leather.Me material ReBOTL që përmban të paktën 50% plastikë të ricikluar.Shtrati i lehtë i këmbëve OrthoLite për rehatimaksimale. Shtresë Eva. Të papërshkueshme nga uji. ,"Made with premium suede Better Leather from a tannery rated Silver by the Leather Working Group for its water, energy and waste management practices, and ReBOTL? fabric containing at least 50% recycled plastic | ReBOTL? fabric lining containing at le",,,1,1,BD,http://46.99.130.129:60000/_uploads/photos/A2F9ZM_1.jpg,,
Pantallona të shkurtër,A25E4-A58,Outdoor Heritage Cargo Shorts for Men in Blue,COP,79,63.2,18,,576750,Burrë,TIMBERLAND,,17,A25E4,Veshje-Pantallona të shkurtë,Pantallona të shkurtër Relaxed fit me detaje elastike dhe shumë xhepa. Materiali i tyre është punuar 97% me pambuk të rritur organikisht.,"We designed these relaxed-fit cargo shorts with plenty of pockets, a touch of elastic for a great fit and 97% organically grown cotton.",Material i përpunuar 97% pambuk organik dhe 3% Elastan. Relaxed fit.,Twill made with 97% organic cotton and 3% elastane  6-pocket style  Zip fly  Grown-on waistband  Concealed press-stud buttons  Relaxed fit,,,1,5,IN,http://46.99.130.129:60000/_uploads/photos/A25E4-A58_1.jpg,,
T Bluzë me logo,A26N4-G99,Millers River Pique Polo Shirt for Men in Black,COP,64,51.2,18,,76A5AF,Burrë,TIMBERLAND,,17,A26N4,Veshje-T Bluzë,T Bluzë Millers River pique me jakë  polo që të dukeni mirë në mot të ngrohtë. Është e punuar me material pambuku të rritur organikisht.,"Our Millers River pique polo shirts are casual but polished ? the perfect shirt for looking good in warmer weather. And because we're committed to responsible sourcing, they're made with organically grown cotton.",Material i përpunuar 100% pambuk organik me logo të qëndisur Timberland.,"""Made with 100% organic cotton  Embroidered Timberland tree logo on the chest  Contrasting back-neck piping  Centre back length: 70.5 cm / 27.75""""  Regular fit""",,,1,3,TR,http://46.99.130.129:60000/_uploads/photos/A26N4-G99_1.jpg,,
Atlete me lidhëse,A28BXW,Seoul City Trainer for Women in Pink,COP,99,69.3,18,,7E2654-CC8CAB-480B29,Grua,TIMBERLAND,,17,A28BXW,Këpucë-Atlete,"Këto atlete sportive për femra janë të punuara duke kombinuar pëlhurën me lëkurën më të mirë Premium. Atletet janë bërë gjithashtu duke përdorur pëlhurë ReBOTL, që përmban të paktën 50% plastikë të ricikluar.","This women's trainer is made with a mixed media upper, combining fabric with premium Better Leather, which is sourced from a sustainable tannery rated silver for its environmental processes. The lining is also made using ReBOTL fabric, containing at least","Pjesa e sipërme me pëlhurë premium Better Leather, e vlerësuar silver nga Grupi i Punës së Lëkurës për praktikat e saj të menaxhimit të ujit, energjisë dhe mbeturinave.E punuar me pëlhurë ReBOTL që përmban të paktën 50% plastikë të ricikluar.","Upper in fabric and premium suede Better Leather sourced from a sustainable tannery rated silver by the Leather Working Group for its water, energy, and waste management practices  Durable ReBOTL fabric lining containing at least 50% recycled plastic  Lig",,,1,1,KH,http://46.99.130.129:60000/_uploads/photos/A28BXW_1.jpg,,
Mokasina të rrafshëta,A2A44W,Timberland 2-Eye Classic Boat Shoe for Men in Beige,COP,144,100.8,18,,BC9D7D,Burrë,TIMBERLAND,,17,A2A44W,Këpucë-Këpucë,"Këto klasike detare duken të shkëlqyera në kuvertë ose në breg, dhe kanë një shtrat këmbe ekstra të rehatshëm EVA. Ndërtimi tradicional, i punuar me dorë garanton cilësi dhe origjinalitet të vërtetë të Timberland.","These nautical classics look great on deck or on shore, and feature an extra-comfortable EVA footbed and responsibly sourced leather. The traditional, handsewn construction guarantees genuine Timberland quality and authenticity.","E punuar me lëkurën më të mirë premium nga një fabrikë lëkurësh e vlerësuar silver nga Leather Working Group për praktikat e saj të menaxhimit të ujit, energjisë dhe mbeturinave. Pëlhurë ReBOTL që përmban të paktën 50% plastikë të ricikluar të lehtë Ortho","Made with premium nubuck Better Leather from a tannery rated Silver for its water, energy and waste management practices  Traditional, handsewn construction for genuine Timberland quality and authenticity  360° functional rawhide lacing system allows for",,,1,5,BD,http://46.99.130.129:60000/_uploads/photos/A2A44W_1.jpg,,
Xhinse Denim,A2C9234-A11,SARGENT LAKE STRETCH CORE INDIGO DENIM PANT,COP,89,71.2,18,,1A4063,Burrë,TIMBERLAND,,17,A2C9234,Veshje-Xhinse,Xhinse Denim me pesë xhepa dhe me etiketë të markës lëkure. Japin një zgjatje komode dhe janë të punuar me material 100% pambuk organik.,"Branding: Leather brand label, woven flag label Fit: Slim Pockets: Classic 5-pocket construction Fly: Zip ?Comfort stretch ?Organic cotton","98% pambuk organik, 2% elastan.","98% organic cotton, 2% elastane",,,1,2,IN,http://46.99.130.129:60000/_uploads/photos/A2C9234-A11_1.jpg,,
Mokasina të rrafshëta,A2A4FW,Classic Boat 2 Eye,COP,144,100.8,18,,5F5858,Burrë,TIMBERLAND,,17,A2A4FW,Këpucë-Këpucë,,,Lëkurë,nubuck Better Leather,,,1,2,BD,http://46.99.130.129:60000/_uploads/photos/A2A4FW_1.jpg,,
Sandale me rripa,A2QVJW,London Vibe X Strap,COP,99,79.2,18,,0,Grua,TIMBERLAND,,17,A2QVJW,Këpucë-Sandale,,,Material lëkure,Leather source,,,1,3,KH,http://46.99.130.129:60000/_uploads/photos/A2QVJW_1.jpg,,
Atlete me lidhëse,A29JBM,Union Wharf 2.0 EK+ Trainer for Men in Grey,COP,74,51.8,18,,999999,Burrë,TIMBERLAND,,17,A29JBM,Këpucë-Atlete,,,"70% burim druri, 30% Pambuk ricikluar","70% sourced wood pulp, 30% recycled cotton, 100% cotton",,,1,1,VN,http://46.99.130.129:60000/_uploads/photos/A29JBM_1.jpg,,
Atlete me lidhëse,A5MS4M,Boroughs Project Trainer for Junior in Teal,COP,59,41.3,18,,5DA1AF,Fëmijë (Për të dy gjinitë),TIMBERLAND,,17,A5MS4M,Këpucë-Atlete,,,"Lëkurë kamoshi, 50% Ricikluar Plastikë","suede Better Leather, 50% recycled plastic",,,1,1,KH,http://46.99.130.129:60000/_uploads/photos/A5MS4M_1.jpg,,
Atlete Nebula,U52D7B00046-9999,Nebula Snakers,COP,169.99,118.993,18,,0,Burrë,GEOX,,39,U52D7B00046,Këpucë-Atlete,,,84% Lëkurë-16% Textil,84% Leather-16% Textile,,,1,1,MM,http://46.99.130.129:60000/_uploads/photos/U52D7B00046-9999_1.jpg,,
Atlete Tabelya,D15AQA02214-8024,Tabelya sneakers,COP,149.99,74.995,18,,ffa500,Grua,GEOX,,39,D15AQA02214,Këpucë-Atlete,Atlete të rehatshme dhe me ajrosje të cilat mundësojnë rregullim natyral të temperaturës dhe e krijojnë një mikroklimë të përsosur brenda tyreve për t'i mbajtur këpucët e thara dhe të rehatshme dhe me ajrosje për tërë ditën,"The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",40% IPEVA-60% gomë termoplastike,40% IPEVA-60% Termoplastic Rubber,,,1,4,AO,http://46.99.130.129:60000/_uploads/photos/D15AQA02214-8024_1.jpg,,
Atlete Tabelya,D15AQA01122-5000,Tabelya sneakers,COP,149.99,74.995,18,,f6ead8,Grua,GEOX,,39,D15AQA01122,Këpucë-Atlete,Atlete të rehatshme dhe me ajrosje të cilat mundësojnë rregullim natyral të temperaturës dhe e krijojnë një mikroklimë të përsosur brenda tyreve për t'i mbajtur këpucët e thara dhe të rehatshme dhe me ajrosje për tërë ditën,"The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",40% IPEVA-60% gomë termoplastike,40% IPEVA-60% Termoplastic Rubber,,,1,5,AO,http://46.99.130.129:60000/_uploads/photos/D15AQA01122-5000_1.jpg,,
Atlete Aerantis,J04BNB03TBC-0802,Aerantis sneakers,COP,89.99,44.995,18,,000000-68e768,Fëmijë (Djalë),GEOX,,39,J04BNB03TBC,Këpucë-Atlete,Çdo fëmijë shpeshherë ëndërron të jetë i rritur. Prandaj është dizajnuar ky model për fëmijë që inspirohet nga atletet e prindërve dhe që nuk e cenon sigurinë dhe rehatinë. Këto atlete e krijojnë një mikroklimë të përsosur në këmbët e fëmijëve për t'i mbajtur këmbët e tyre të thara dhe të rehatshme dhe me ajrosje gjatë tërë ditës,"There is a perfect shoe for every child. We have them all. Thanks to Geox?s high level of specialisation, GEOX knows how to ensure the correct development and wellbeing for young feet during every phase of growth. Every so often children dream about being adults. That?s why we have designed a model for your children that is inspired by mum and dad?s shoes yet does not impede safety and comfort. The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",60% acetat etilen-vinil-40% gomë,60% Ethylene-Vinyl Acetate-40% Rubber,,,1,4,AO,http://46.99.130.129:60000/_uploads/photos/J04BNB03TBC-0802_1.jpg,,
Mokasina Calarossa,U029FB00022-4005,Calarossa moccasins,COP,139.99,69.995,18,,25669c,Burrë,GEOX,,39,U029FB00022,Këpucë-Mokasina,"Këto mokasina karakterizohen nga kombinimi i një shtrese të rehatshme dhe me ajrosje me një cipë që ofron ajrosje dhe është rezistente ndaj ujit, duke mundësuar rregullim natyral të temperaturës dhe duke e krijuar mikroklimën e përsosur brenda këpucëve për t?u siguruar që këmbët tuaja të jenë të thara dhe të rehatshme dhe me ajrosje gjatë tërë ditës.","The classic Geox rubber sole is based on an exclusive patent: the combination of the perforated sole and the resistant breathable and waterproof membrane allow for natural temperature regulation, thereby creating the perfect microclimate inside the shoe that keeps feet dry and comfortable for the whole day.",100% poliuretan termoplastik,100% Termoplastic Rubber,,,1,4,AO,http://46.99.130.129:60000/_uploads/photos/U029FB00022-4005_1.jpg,,
